YEAR,MONTH,Number_of_Tags_Issued,animal_type,zip_code,OBJECTID
2014,3,5,DOG,40206,820
2014,3,10,DOG,40207,821
2014,3,2,DOG,40208,822
2014,3,5,DOG,40210,823
2014,3,1,DOG,40211,824
2014,3,1,DOG,40212,825
2014,3,2,DOG,40213,826
2014,3,5,DOG,40214,827
2014,3,2,DOG,40215,828
2014,3,7,DOG,40216,829
2014,3,4,DOG,40217,830
2014,3,5,DOG,40218,831
2014,3,14,DOG,40219,832
2014,3,10,DOG,40220,833
2014,3,1,DOG,40222,834
2014,3,2,DOG,40223,835
2014,3,4,DOG,40228,836
2014,3,5,DOG,40229,837
2014,3,1,DOG,40232,838
2014,3,4,DOG,40241,839
2014,3,2,DOG,40242,840
2014,3,2,DOG,40243,841
2014,3,5,DOG,40245,842
2014,3,8,DOG,40258,843
2014,3,9,DOG,40272,844
2014,3,8,DOG,40291,845
2014,3,7,DOG,40299,846
2014,3,1,DOG,47130,847
2014,4,1,CAT,40059,848
2014,4,1,CAT,40118,849
2014,4,1,CAT,40203,850
2014,4,7,CAT,40205,851
2014,4,1,CAT,40206,852
2014,4,2,CAT,40211,853
2014,4,2,CAT,40214,854
2014,4,3,CAT,40215,855
2014,4,1,CAT,40216,856
2014,4,4,CAT,40217,857
2014,4,1,CAT,40218,858
2014,4,1,CAT,40219,859
2014,4,1,CAT,40222,860
2014,4,3,CAT,40223,861
