OBJECTID,WSR_NAME,WSR_CLASS,ORV,CASEFILE,DSG_MILES,BLM_ORG_CD,GIS_MILES,SHAPE_Length
652,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.16587106,0.00253891935548709
653,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.06719681,0.00102189415952954
654,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.62100767,0.00992598239141693
655,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.09477124,0.00176875885409088
656,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.24829885,0.00461811706140269
657,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.17388012,0.00320593276029005
658,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.04664902,0.000866004542209787
659,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.09701591,0.00170677277435232
660,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.04148209,0.000810628719709189
661,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.0352488,0.000676703289452772
662,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.05966867,0.00115787205610638
663,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.30788266,0.00601478301812594
664,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.0046197,6.74449981447837e-05
665,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.0101486,0.00014815111101309
666,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.01030286,0.0001504050486553
667,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.00960691,0.000140247017783858
668,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.0128488,0.00018757403592113
669,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.01341317,0.000203394925327919
670,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.01021483,0.000162088835033466
671,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.01260238,0.000199932045694628
672,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.05288307,0.000836303551943339
673,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.24666004,0.00471205025644275
674,Grande Ronde River Segment D,REC,FISH/PREH/REC/SCENIC/WLDL,OROR 044718,,ORV05,0.27813078,0.00529141559296826
675,Grande Ronde River Segment B,WILD,FISH/PREH/REC/SCENIC/WLDL,OROR 044719,,ORV05,3.1618634,0.0553369285429275
676,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.07099475,0.00107079842211758
677,South Fork John Day River,REC,FISH/REC/SCENIC/WLDL,OROR 044748,,ORP04,0.07080675,0.00128339246529492
678,Howard Creek,WILD,,OROR   06975101,,ORM07,3.46390131,0.0582968046880289
679,Grande Ronde River Segment C,WILD,FISH/PREH/REC/SCENIC/WLDL,OROR 044718,,ORV05,4.50913343,0.0792922593237531
680,Grande Ronde River Segment D,REC,FISH/PREH/REC/SCENIC/WLDL,OROR 044718,,ORV05,0.30797824,0.00481185201560341
681,Deschutes River Segment D,SCENIC,FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044713,,ORP06,0.05418231,0.000901763189102708
682,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,1.26185602,0.023344192589494
683,Deschutes River Segment D,SCENIC,FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044713,,ORP06,0.55461804,0.00994466925451478
684,Deschutes River Segment D,SCENIC,FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044713,,ORP06,1.37823542,0.0226111301675538
685,Deschutes River Segment D,SCENIC,FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044713,,ORP06,0.18704564,0.00369310011880882
686,Deschutes River Segment D,SCENIC,FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044713,,ORP06,0.51299345,0.00840686283862183
687,Deschutes River Segment D,SCENIC,FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044713,,ORP06,0.46255522,0.00847859933894665
688,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.08697633,0.00151156935031588
689,Deschutes River Segment D,SCENIC,FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044713,,ORP06,2.0048807,0.0331372483895461
690,Deschutes River Segment D,SCENIC,FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044713,,ORP06,0.05984132,0.000978260767142601
691,Deschutes River Segment D,SCENIC,FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044713,,ORP06,0.29516036,0.00475548003275409
692,Deschutes River Segment D,SCENIC,FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044713,,ORP06,1.32103939,0.0221759103910416
693,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.0341142,0.000628164681189286
694,Crooked River Segment A,REC,REC/SCENIC,OROR 044712,,ORP06,9.50093523,0.164981893609798
695,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.04306773,0.000744993211824865
696,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.12700227,0.00206776282567638
697,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.55672856,0.0101333685838259
698,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.03464216,0.000624341550165374
699,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.03574481,0.000635834152420339
700,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.31140191,0.00492795408265252
701,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.19671771,0.00290514051507587
702,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.09416795,0.00145282922530151
703,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.11438094,0.00177249924003612
704,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.10546942,0.00178402115322881
705,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.12893491,0.00244864108622238
706,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.42206358,0.00754744768807428
707,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.11811981,0.00229705582182209
708,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.20444827,0.00391282106182603
709,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.6226034,0.00987395186808201
710,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.37420432,0.00704557431621225
711,Grande Ronde River Segment D,REC,FISH/PREH/REC/SCENIC/WLDL,OROR 044718,,ORV05,0.7337941,0.0139700289071643
712,Donner and Blitzen Segment D Indian & Big Indian,WILD,FISH/GEOL/HIST/OTHR/REC/SCENIC/WLDL,OROR 044715,,ORB06,0.62619738,0.0115750950144791
713,Deschutes River Segment E,REC,FISH/REC/SCENIC/WLDL,OROR 044713,,ORP06,14.39388811,0.248114668467763
714,Donner and Blitzen Segment D Indian & Big Indian,WILD,FISH/GEOL/HIST/OTHR/REC/SCENIC/WLDL,OROR 044715,,ORB06,0.70293398,0.0132570139244611
715,Donner and Blitzen Segment D Indian & Big Indian,WILD,FISH/GEOL/HIST/OTHR/REC/SCENIC/WLDL,OROR 044715,,ORB06,1.51409317,0.0280604112845914
716,Donner and Blitzen Segment D Indian & Big Indian,WILD,FISH/GEOL/HIST/OTHR/REC/SCENIC/WLDL,OROR 044715,,ORB06,0.69373222,0.0131426143832228
717,Donner and Blitzen Segment C South Fork,WILD,FISH/GEOL/HIST/OTHR/REC/SCENIC/WLDL,OROR 044715,,ORB06,0.11319409,0.00206983698806224
718,Donner and Blitzen Segment C South Fork,WILD,FISH/GEOL/HIST/OTHR/REC/SCENIC/WLDL,OROR 044715,,ORB06,0.04775938,0.00091026535907457
719,South Fork John Day River,REC,FISH/REC/SCENIC/WLDL,OROR 044748,,ORP04,0.14270437,0.00211002121828976
720,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.1746086,0.00290473885618535
721,Deschutes River Segment D,SCENIC,FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044713,,ORP06,0.35214641,0.00584471603309097
722,Donner and Blitzen Segment A Main Stem,WILD,FISH/GEOL/HIST/OTHR/REC/SCENIC/WLDL,OROR 044715,,ORB06,0.62295957,0.00984581624758704
723,Grande Ronde River Segment B,WILD,FISH/PREH/REC/SCENIC/WLDL,OROR 044719,,ORV05,0.18186338,0.00366877801463404
724,Rogue River,REC,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.01289798,0.000222052168972717
725,Grande Ronde River Segment C,WILD,FISH/PREH/REC/SCENIC/WLDL,OROR 044718,,ORV05,0.75712761,0.0154840985444526
