OBJECTID,PLANID,BLM_ORG_CD,OHV_DSG,DSG_REASON,RESTRICT_,RESTRICT_DETAIL,SHAPE_Length,SHAPE_Area
698,Southwestern Oregon RMP 2016,ORM06,Closed,ERMA,,,0.065282170566838,1.08342387952711e-05
699,Southwestern Oregon RMP 2016,ORM06,Closed,ERMA,,,0.00257158261149878,1.84534573559484e-07
700,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.000707660423418142,6.58606579813867e-09
701,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0166568614832478,1.7042011018535e-05
702,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.000163536158546821,1.22942570272011e-09
703,Southwestern Oregon RMP 2016,ORM06,Closed,ACEC,,,0.0125876637546856,1.23017718841193e-06
704,Southwestern Oregon RMP 2016,ORM06,Closed,ACEC,,,0.607257025057559,5.88744221098375e-05
705,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0269182719797566,3.64994152650574e-05
706,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.510648704718899,0.00483233090105248
707,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0169032311255662,1.74148598938605e-05
708,Southwestern Oregon RMP 2016,ORM06,Closed,ACEC,,,0.0209928818560086,1.97619632668245e-06
709,Southwestern Oregon RMP 2016,ORM06,Closed,ACEC,,,0.00954302962827539,8.40810386397847e-07
710,Southwestern Oregon RMP 2016,ORM06,Closed,ACEC,,,0.065857729431322,0.000185774646445131
711,Southwestern Oregon RMP 2016,ORM06,Closed,ERMA,,,0.00239371707386812,2.71129315448419e-07
712,Southwestern Oregon RMP 2016,ORM06,Closed,ERMA,,,0.0450986040953353,7.18621474328818e-06
713,Southwestern Oregon RMP 2016,ORM06,Closed,SRMA,,,0.16029316822023,5.23068070158825e-05
714,Southwestern Oregon RMP 2016,ORM06,Closed,SRMA,,,0.183422194786397,6.18183755556259e-05
715,Southwestern Oregon RMP 2016,ORM06,Closed,ERMA,,,0.141369285265313,2.05339259837339e-05
716,Southwestern Oregon RMP 2016,ORM06,Closed,SRMA,,,0.0182168872043038,4.91469862629751e-06
717,Southwestern Oregon RMP 2016,ORM06,Closed,SRMA,,,0.00273891425272061,2.21719012355699e-07
718,Southwestern Oregon RMP 2016,ORM06,Closed,ERMA,,,0.0158208290678914,3.13267524681224e-06
719,Southwestern Oregon RMP 2016,ORM06,Closed,ERMA,,,0.216439403807465,3.48214858744911e-05
720,Southwestern Oregon RMP 2016,ORM06,Closed,SRMA,,,0.104250977500327,3.82320089542013e-05
721,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0961594719651985,0.000211315115242959
722,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0891760588677062,0.000365625931972577
723,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0305389208291216,7.7333860526807e-06
724,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,ERMA,,,0.00219617757946183,2.29313326611832e-07
