SECTION_NUMBER,ON_STREET,FROM_STREET,TO_STREET,LENGTH,COUNT_,CURRENT_PQI,MEASURED_PQI,PQI_DATE,CLASS,YEAR,ObjectId
10210,WARNER RANCH RD,SARAH LN,SARAH LN,135,1,25,32.9,2021/03/18 07:00:00+00,Collector,2021,914
10220,WARNER RANCH RD,SARAH LN,RHEA RD,378,1,41.8,52.8,2021/03/18 07:00:00+00,Collector,2021,915
3321,RIO SALADO PARKWAY,1ST ST,HARDY DR,3592,1,31.3,40.7,2021/03/18 07:00:00+00,Collector,2021,916
10230,WARNER RANCH RD,RHEA RD,WARNER RD,420,1,50.6,62.1,2021/03/18 07:00:00+00,Collector,2021,917
3331,RIO SALADO PARKWAY,ASH ST,1ST ST,100,1,27.2,35.7,2021/03/18 07:00:00+00,Collector,2021,918
10240,STACEY LN,KYRENE RD,STEPHANIE LN,204,2,20.4,26.1,2021/03/18 07:00:00+00,Local,2021,919
10290,STEPHANIE LN,END,STACEY LN,179,2,23.1,29.3,2021/03/18 07:00:00+00,Local,2021,920
13070,LA VIEVE LN,END,LAKESHORE DR,154,2,32.2,39.4,2021/03/20 07:00:00+00,Local,2021,921
10300,DROMEDARY DR,END,STACEY LN,232,2,23.8,30.1,2021/03/18 07:00:00+00,Local,2021,922
10310,LARONA LN,STACEY LN,MICHELLE LN,374,2,29.2,36.1,2021/03/18 07:00:00+00,Local,2021,923
13080,LA VIEVE LN,LAKESHORE DR,JUNIPER ST,1005,2,50,57.5,2021/03/20 07:00:00+00,Local,2021,924
10780,MILL AV,ALEXANDER BL,COURTNEY LN,263,2,43.3,54.7,2021/03/18 07:00:00+00,Collector,2021,925
11290,COURTNEY LN,LA ROSA DR,PALM DR,625,2,43.2,51,2021/03/18 07:00:00+00,Local,2021,926
10320,LARONA LN,MICHELLE LN,END,322,2,24.3,30.7,2021/03/18 07:00:00+00,Local,2021,927
10790,MILL AV,COURTNEY LN,VERA LN,330,2,25.9,34.1,2021/03/18 07:00:00+00,Collector,2021,928
11300,LA ROSA DR,STACEY LN,COURTNEY LN,353,2,18.7,24,2021/03/18 07:00:00+00,Local,2021,929
13090,LA VIEVE LN,JUNIPER ST,BUTTE AV,918,2,63.7,70.3,2021/03/20 07:00:00+00,Local,2021,930
11750,LA VIEVE DR,END,ASH AV,317,2,21.3,27.2,2021/03/18 07:00:00+00,Local,2021,931
12570,STANLEY PL,E JEANINE DR,E CAROLINE LN,970,2,60.4,67.3,2021/03/18 07:00:00+00,Local,2021,932
10800,MILL AV,VERA LN,KNOX RD,174,2,22.3,29.7,2021/03/18 07:00:00+00,Collector,2021,933
13100,LA VIEVE LN,BUTTE AV,MCCLINTOCK DR,561,2,51.5,59,2021/03/20 07:00:00+00,Local,2021,934
10330,MICHELLE LN,LARONA LN,WARNER RANCH DR,157,2,23.6,29.9,2021/03/18 07:00:00+00,Local,2021,935
12580,E CAROLINE LN,STANLEY PL,KENNETH PL,284,2,58.6,65.6,2021/03/18 07:00:00+00,Local,2021,936
10810,EVELYN LN,MILL AV,KELLY LN,992,2,53.3,60.8,2021/03/18 07:00:00+00,Local,2021,937
11760,LA VIEVE DR,ASH AV,DREA LN,165,2,28.6,35.5,2021/03/18 07:00:00+00,Local,2021,938
13110,LA VIEVE LN,MCCLINTOCK DR,LA VIEVE LN,186,2,23.6,29.8,2021/03/20 07:00:00+00,Local,2021,939
10340,LARONA LN,END,WARNER RANCH DR,516,2,54,61.4,2021/03/18 07:00:00+00,Local,2021,940
12590,KENNETH PL,E CAROLINE LN,E JEANINE DR,955,2,62.4,69.1,2021/03/18 07:00:00+00,Local,2021,941
11310,LA ROSA DR,COURTNEY LN,VERA LN,282,2,24.3,30.6,2021/03/18 07:00:00+00,Local,2021,942
10820,FOREST AV,KELLY LN,YVONNE LN,359,2,49.5,57,2021/03/18 07:00:00+00,Local,2021,943
11770,DREA LN,LA VIEVE DR,GREENTREE DR,245,2,29.2,36.1,2021/03/18 07:00:00+00,Local,2021,944
13120,LA VIEVE LN,LA VIEVE LN,GREENTREE DR,729,2,25.9,32.4,2021/03/20 07:00:00+00,Local,2021,945
10350,COURTNEY LN,WARNER RANCH DR,END,548,2,46,53.9,2021/03/18 07:00:00+00,Local,2021,946
12600,E JEANINE DR,KENNETH PL,STANLEY PL,302,2,63.2,69.6,2021/03/18 07:00:00+00,Local,2021,947
11320,LA ROSA DR,VERA LN,AMANDA LN,271,2,30.1,37.1,2021/03/18 07:00:00+00,Local,2021,948
10830,KELLY LN,GRANDVIEW DR,EVELYN LN,739,2,42.6,50.4,2021/03/18 07:00:00+00,Local,2021,949
11780,DREA LN,GREENTREE DR,END,210,2,32.3,39.4,2021/03/18 07:00:00+00,Local,2021,950
13130,LA VIEVE LN,GREENTREE DR,CAROLINE DR,316,2,21.3,27.3,2021/03/20 07:00:00+00,Local,2021,951
10360,DROMEDARY DR,WARNER RANCH DR,COURTNEY LN,133,2,38.3,45.6,2021/03/18 07:00:00+00,Local,2021,952
12610,DEL SOL DR,STANLEY PL,KENNETH PL,376,2,21.1,26.9,2021/03/18 07:00:00+00,Local,2021,953
11330,LA ROSA DR,AMANDA LN,KNOX RD,407,2,20.2,25.8,2021/03/18 07:00:00+00,Local,2021,954
10840,KELLY LN,EVELYN LN,END,172,2,25.1,31.5,2021/03/18 07:00:00+00,Local,2021,955
11790,GREENTREE DR,ASH AV,DREA LN,256,2,26.1,32.7,2021/03/18 07:00:00+00,Local,2021,956
13140,LA VIEVE LN,CAROLINE DR,LA VIEVE LN,349,2,26.6,33.3,2021/03/20 07:00:00+00,Local,2021,957
10370,DROMEDARY DR,COURTNEY LN,VERA LN,293,2,47.8,55.3,2021/03/18 07:00:00+00,Local,2021,958
12620,KENNETH PL,DEL SOL DR,KNOX RD,1154,2,27.4,34.1,2021/03/18 07:00:00+00,Local,2021,959
