STATEFP,ELSDLEA,SCSDLEA,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_YEAR,SCHOOLYEAR,Shape_Length,Shape_Area,OBJECTID
09, ,03570, ,0903570,Regional High School District 11,00,07,12, ,E,163465415,1536941,+41.7528056,-072.0771642,2018,2017-2018,0.61056023052021,0.0178643851725011,129
09, ,03750, ,0903750,Regional High School District 08,00,07,12, ,E,196049301,1985327,+41.6644949,-072.4113823,2018,2017-2018,0.696444602139295,0.0214094489060008,130
09, ,03780, ,0903780,Regional High School District 09,00,09,12, ,E,152761747,4653127,+41.2881408,-073.3553307,2018,2017-2018,0.69264671609036,0.0169200047285014,131
09, ,03660, ,0903660,Regional High School District 05,00,07,12, ,E,147890093,2584499,+41.3635379,-073.0038920,2018,2017-2018,0.725928076421198,0.0161549321795106,132
09, ,03630, ,0903630,Regional High School District 04,00,07,12, ,E,103517056,7459342,+41.3763804,-072.4608355,2018,2017-2018,0.730878006763496,0.0113613080384213,133
09, ,03600, ,0903600,Regional High School District 01,00,09,12, ,E,680970605,13837681,+41.8837192,-073.3783861,2018,2017-2018,1.25179577141349,0.0753689646600036,134
09, ,03720, ,0903720,Regional High School District 07,00,07,12, ,E,388983305,16024635,+41.9699220,-073.1784830,2018,2017-2018,1.35513980867831,0.0439694336685013,135
13, ,13053, ,1313053,Chattahoochee County for Fort Benning,00,09,12,A,F,489952780,4272428,+32.3717532,-084.7974159,2018,2017-2018,1.36392107880722,0.0473563011490012,136
13, ,13215, ,1313215,Muscogee County for Fort Benning,00,09,12,A,F,191845678,549905,+32.4698571,-084.8130988,2018,2017-2018,0.951957924787091,0.0184558615370008,137
17, ,17901, ,1717901,Flanagan-Cornell District 74 in Cornell,00,09,12,A,F,161729605,408522,+40.9935122,-088.7233485,2018,2017-2018,0.91354597420458,0.0173505532404996,138
17, ,32220, ,1732220,Pontiac Township High School District 90,00,09,12, ,E,701683134,2229908,+40.9124848,-088.5631348,2018,2017-2018,1.96642378994606,0.0752423366119952,139
17, ,38100, ,1738100,Streator Township High School District 40,00,09,12, ,E,315393234,102808,+41.1575752,-088.7877848,2018,2017-2018,1.61871857824676,0.0338447200589971,140
17, ,32700, ,1732700,Princeton High School District 500,00,09,12, ,E,589279555,854083,+41.3562143,-089.4554288,2018,2017-2018,2.28491497666512,0.0635013249140049,141
17, ,34290, ,1734290,Rochelle Township High School District 212,00,09,12, ,E,563436806,642848,+41.9436890,-089.0439671,2018,2017-2018,1.68128494453326,0.0612400900949936,142
17, ,25650, ,1725650,Mendota Township High School District 280,00,09,12, ,E,524310606,505349,+41.5786140,-089.0930993,2018,2017-2018,2.08512151354324,0.0566620669534966,143
17, ,29730, ,1729730,Ohio Community High School District 505,00,09,12, ,E,130727242,88305,+41.5594694,-089.4448495,2018,2017-2018,0.806786079550504,0.0141203140869964,144
17, ,23050, ,1723050,Lincoln Community High School District 404,00,09,12, ,E,698642836,1970215,+40.1402623,-089.3890947,2018,2017-2018,2.3667161830351,0.0740423278084968,145
17, ,19080, ,1719080,Township High School District 113,00,09,12, ,E,64146913,337552,+42.1787878,-087.8367065,2018,2017-2018,0.476677550701492,0.00702064524985129,146
17, ,21780, ,1721780,Lake Forest Community High School District 115,00,09,12, ,E,55528398,183163,+42.2526073,-087.8589232,2018,2017-2018,0.448204282209432,0.00605844433828115,147
17, ,22830, ,1722830,Libertyville Community High School District 128,00,09,12, ,E,89217813,2298245,+42.2800147,-087.9399419,2018,2017-2018,0.586230563287157,0.00998826831050295,148
17, ,27570, ,1727570,Mundelein Consolidated High School District 120,00,09,12, ,E,88366886,4457749,+42.2802094,-088.0542663,2018,2017-2018,0.514114876886588,0.0101304742919967,149
17, ,32580, ,1732580,Adlai E. Stevenson High School District 125,00,09,12, ,E,104902173,2121405,+42.1908019,-087.9810635,2018,2017-2018,0.784046600472465,0.0116651859369984,150
17, ,33510, ,1733510,Richmond-Burton Community High School District 157,00,09,12, ,E,112961601,675203,+42.4474365,-088.2693398,2018,2017-2018,0.490678348562434,0.0124364661010045,151
17, ,40800, ,1740800,Warren Township High School District 121,00,09,12, ,E,132295506,2670530,+42.3897157,-087.9458874,2018,2017-2018,0.526913671328299,0.0147555677469985,152
17, ,43890, ,1743890,Zion-Benton Township High School District 126,00,09,12, ,E,94492413,1187206,+42.4611073,-087.8726236,2018,2017-2018,0.588322033660893,0.0104223458307976,153
17, ,27740, ,1727740,Nashville Community High School District 99,00,09,12, ,E,836854175,2337365,+38.3234419,-089.3236894,2018,2017-2018,2.20537490744446,0.086461878671007,154
17, ,35190, ,1735190,Salem Community High School District 600,00,09,12, ,E,665137588,2664133,+38.5968831,-088.8692552,2018,2017-2018,1.21584166305984,0.0690487413020008,155
17, ,26180, ,1726180,Fairfield Community High School District 225,00,09,12, ,E,570389126,1963153,+38.3505563,-088.3329338,2018,2017-2018,1.87270624566779,0.0589827568239932,156
