ObjectId,YEAR,MONTH,Number_of_Tags_Issued,animal_type,zip_code
1343,2015,3,3,DOG,40211
1344,2015,1,7,DOG,40216
1345,2014,11,2,DOG,40241
1346,2015,4,1,DOG,40107
1347,2015,5,3,DOG,40204
1348,2014,10,9,DOG,40219
1349,2015,2,8,DOG,40216
1350,2015,3,1,DOG,40212
1351,2015,1,4,DOG,40217
1352,2014,11,2,DOG,40245
1353,2015,4,1,DOG,40118
1354,2015,5,10,DOG,40205
1355,2014,10,4,DOG,40220
1356,2015,2,5,DOG,40217
1357,2015,3,18,DOG,40214
1358,2015,1,4,DOG,40218
1359,2014,11,3,DOG,40258
1360,2015,4,1,DOG,40175
1361,2015,5,5,DOG,40206
1362,2014,10,2,DOG,40222
1363,2015,2,17,DOG,40218
1364,2015,3,9,DOG,40215
1365,2015,1,6,DOG,40219
1366,2014,11,14,DOG,40272
1367,2015,4,1,DOG,40202
1368,2015,5,9,DOG,40207
1369,2014,10,11,DOG,40223
1370,2015,3,9,DOG,40216
1371,2015,2,12,DOG,40219
1372,2015,1,7,DOG,40220
1373,2014,11,3,DOG,40291
1374,2015,4,2,DOG,40203
1375,2015,5,1,DOG,40210
1376,2014,10,6,DOG,40228
1377,2014,10,7,DOG,40229
1378,2014,10,2,DOG,40241
1379,2014,10,3,DOG,40242
1380,2014,10,1,DOG,40243
1381,2014,10,3,DOG,40245
1382,2014,10,1,DOG,40253
1383,2014,10,2,DOG,40258
1384,2014,10,3,DOG,40291
1385,2014,10,9,DOG,40299
1386,2014,10,1,DOG,47421
1387,2014,11,1,CAT,40205
1388,2014,11,1,CAT,40206
1389,2014,11,2,CAT,40208
1390,2014,11,2,CAT,40213
1391,2014,11,6,CAT,40214
1392,2014,11,3,CAT,40216
1393,2014,11,3,CAT,40217
1394,2014,11,1,CAT,40218
1395,2014,11,3,CAT,40219
1396,2014,11,2,CAT,40220
1397,2014,11,3,CAT,40223
1398,2014,11,5,CAT,40229
1399,2014,11,2,CAT,40258
1400,2014,11,1,CAT,40268
1401,2014,11,2,CAT,40272
1402,2014,11,1,CAT,40299
1403,2014,11,1,DOG,40071
1404,2014,11,1,DOG,40203
1405,2014,11,6,DOG,40204
1406,2014,11,1,DOG,40205
1407,2014,11,1,DOG,40206
1408,2015,1,3,DOG,40222
1409,2014,11,4,DOG,40299
1410,2015,2,7,DOG,40220
1411,2015,1,3,DOG,40228
1412,2015,3,6,DOG,40218
1413,2014,11,1,DOG,40601
1414,2015,2,5,DOG,40222
1415,2015,1,5,DOG,40229
1416,2015,3,10,DOG,40219
1417,2014,11,1,DOG,41017
1418,2015,2,2,DOG,40223
1419,2015,1,4,DOG,40241
1420,2015,3,6,DOG,40220
1421,2014,12,1,CAT,40160
1422,2015,2,9,DOG,40228
1423,2015,1,2,DOG,40242
1424,2015,3,4,DOG,40222
